"","X1949","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","Country"
"Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","5","5","4","4","3","3","3","3","3","3","3","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Egypt"
"Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","3","3","3","4","4","4","3","2","2","5","5","5","5","5","4","4","5","5","5","4","4","4","4","4","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","2","2","2","2","3","2","2","2","2","Iran"
"Iraq",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","5","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","2","3","2","4","3","3","2","3","3","2","Iraq"
"Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","Israel"
"Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5",NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","3","4","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4","3","3","3","3","3","3","3","3","3","4","Jordan"
"Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","3",NA,NA,"4","3","3","3","3","4","4","4","4","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","Kuwait"
"Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","3","3","3","3","4","3",NA,NA,"5","3","5","5","5","5","5","5","5","4","4","2","2",NA,"5","4","5","4","4","4","4","3","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3",NA,"Lebanon"
"Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","5","5","5","5","5","5","5","5","5","5","5","Oman"
"Qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5","5","5","5",NA,"5","5","5","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","2","2","2","2","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Qatar"
"Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","5","5","5","5","5","5","5","5",NA,NA,NA,"5","5","5","5","5","5","5","5","5",NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","Saudi Arabia"
"Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","5",NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syria"
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Turkey"
"United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5","5","4","3","3","3","3","3","3","3","4","4","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,"United Arab Emirates"
"Yemen, North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yemen, North"
"Yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5","5","5","4","4","4","4","4","3","4","4","4","4","3","3","3","3","4","3","3","3","3","3",NA,NA,NA,NA,NA,NA,NA,"Yemen"
